Plato,,The Republic
Poe,Edgar Allan,The complete tales
Prevert,Jacques,Paroles
Proulx,Annie,The Shipping News
Rabe,Bernice,The girl who had no name
Rand,Ayn,The Fountainhead
Reichart,Mickey Zucker,Beyond Ragnarok
Reichart,Mickey Zucker,Prince Of Demons
Reichart,Mickey Zucker,Children Of Wrath
Rich,Adrienne,Fact of a doorframe
Richardson,Grace,Apples every day
Richler,Mordechai,The Apprenticeship of Duddy Kravitz
Robbins,Tom,Even Cowgirls get the Blues
Roi,Gabrielle,The Tim Flute
Rossner,Judith,His Little Women
Rossner,Judith,Looking for Mr. Goodbar
Rossner,Judith,Olivia
Rossner,Judith,Emmeline
Rousseau,Jean Jacques,The Social Contract
Rowlings,JK,Harry Potter and the Philosopher's Stone
Rowlings,JK,Harry Potter and the Half Blood Prince
Rowlings,JK,Harry Potter and the chamber of secrets
Rowlings,JK,Harry Potter and the prisoner of Askaban
Rowlings,J.K.,Harry Potter and the Order of the Phoenix
Rubio,Gwyn Hyman,Icy Sparks
Salinger,JD,The Catcher in the Rue
Santmyer,Helen Hooven,And the Ladies of the club
Sartre,Jean Paul,No Exit
Sauskind,Patrick,Perfume
Schlink,Bernhard,The Reader
Scliar,Moacir,Max and The Cats
Scliar,Moacir,The Gods of Raquel
Scliar,Moacir,A Centaur in the Garden
Sebold,Alice,The Lovely Bones
Shakespeare,William,Hamlet
Shakespeare,William,King Lear
Shakespeare,William,Othello
Shakespeare,William,Macbeth
Shakespeare,William,Twelfth night
Shelley,Mary,Frankenstein
Shields,Carol,The Stone Diaries
Siddons,Anne Rivers,Heartbreak Hotel
Siegel,Erich,The Class
Singer,Isaac Bashevis,The Manor
Singh,Simon,Fermat's Enigma
Sladek,John T.,Tik-Tok
Smith,Adam ,Wealth of nations
Smith,Betty,A Tree grows in Brooklyn
Smith,Zaidie,White Teeth
Soehlain,KM,The World of Normal Boys
Sophocles,,Oedipus the King
Sophocles,,Antigone
Sparks,Nicholas,The Notebook
Steinbeck,John,The Grapes of wrath
Steinbeck,John,East of Eden
Steinbeck,John,Of mice and men
Stewart,Ian,Flatterland
Stewart,Mary,Stormy Petrol
Stewart,Mary,The Crystal Caves
Stewart,Mary,The Hollow Hills
Stewart,Mary,Airs above ground
Stewart,Mary,The Ivy Tree 
Stewart,Mary,This Wicked Day
Stewart,Mary,The last Enchantment
Stewart,Mary,Touch not the cat
Stewart,Mary,Wildfire at Midnight
Stewart,Mary,"Madam, Will you talk?"
Stewart,Mary,Thunder on the right
Stoker,Braham,Dracula
Stoppard,Tom,Arcadia
Styron,William,Sophie's Choice
Susann,Jacqueline,One is not enough
Susann,Jacqueline,The Love Machine
Susann,Jacqueline,Valley of the Dolls
Susann,Jacqueline,Dolores
Susann,Jacqueline,The Love Machine
Susann,Jacqueline,Dolores
Swift,Jonathan,Gulliver's Travels
Swift,Jonathan,A modest Proposal
Tan,Amy,The Joy Luck Club
Tan,Amy,100 Secret Senses
Tan,Amy,The Bonesetter's daughter
Tartt,Donna,The Secret History
Tevis,Walter,The Color of Money
Thoreau,Henry David,Walden
Thorne,Matt,Child Star
Tolkein,JR,The Hobbit
Townsend,Sue,Adrian Mole the Cappucino years
Trolloppe,Jonanna,The Brass Dolphin
Trolloppe,Jonanna,Marrying the Mistress
Trolloppe,Jonanna,A Spanish Lover
Trolloppe,Jonanna,Brothers and Sisters
Trolloppe,Jonanna,The Rector's Wife
Trolloppe,Joanna,City of gems
Twain,Mark,The Adventures of Huckleberry Finn
Updike,John,The witches of Eastwick
Vandergriff,Aola,Daughters of the South wond
Verne,Jules,"20,000 leagues under the sea"
Verne,Jules,Journey to the centre of the earth
Vincenzi,Penny,Windfall
Virgil,,The Aeneid
Voltaire,,Candide
Vonnegut,Kurt,Mother Night
Vonnegut,Kurt,Slaughterhouse five
Vonnegut,Kurt,Deadeye Dick
Vonnegut,Kurt,Cat's Cradle
Vonnegut,Kurt,Breakfast of Champions
Vonnegut,Kurt,Bluebeard
Vonnegut,Kurt,The Sirens of Titan
Wagner,Geoffrey,Sophie
Wainwright,AJ,A far time
Walker,Alice,The third Life of Grange Copeland
Weiner,Jennifer,In Her Shoes
Weiner,Jennifer,Good in bed
Weis,Margaret,Dragons Of Autumn Twilight
Weis,Margaret,Dragons Of Winter Night
Weis,Margaret,Dragons Of Spring Dawning
Weis,Margaret,Dragons Of Summer Flame
Weis,Margaret,Time Of The Twins
Weis,Margaret,War Of The Twins
Weis,Margaret,Test Of The Twins
Weisman?,Adele,Crackpot
Weldon,Fay,Leader of the Band
Weldon,Fay,Darcy's Utopia
Weldon,Fay,Confessions of a she-devil
Weldon,Fay,The Cloaning of Joanna May
Weldon,Fay,The life and Loves of a she-devil
Weldon,Fay,The Bulgari Connection
Wells,HG,The Time Machine
Wells,HG,The Invisible Man
Wells,HG,War of the Worlds
Wells,HG,The Island of Dr. Moreau
Wharton,Edith,The Age of Innocence
Wharton,Edith,Summer
Wharton,Edith,The House of Mirth
Wharton,Edith,The Buccanneers
Wharton,Edith,Custom of the country
Wharton,Edith,Old New York
Wharton,Edith,Ethan Frome
White,TH ,The Once and Future King
Wiesel,Ellie,Night
Wilde,Oscar,The picture of Dorian Gray
Wilder,Laura Ingalls,those happy golden years
Wilder,Laura Ingalls,Little house in the big woods
Wilder,Laura Ingalls,Little house on the prairie
Winsor,Kathleen,Forever Amber
Wollstonecraft,Mary,A vindication on the rights of women
Woolf,Virginia,To the lighthouse
Wouk,Herman,The Winds of War
Wouk,Herman,War and Rememberance
Wright,Richard,Clara Callan
Wright,Richard,Adultery
Wright,Richard B.,In the Middle of a life
Wyndham,John,The Chrysallids (Rebirth)
Wyndham,John,The day of the Triffids
Wyndham,John,Gooseflesh and laughter
Wyndham,John,The Outward Urge
Wyndham,John,Exiles on Asperus
Wyndham,John,Sleepers of Mars
Wyndham,John,The kracken Wakes (From Out of the Deeps)
Wyndham,John,Trouble with lichen
Wyndham,John,The Midwich Cukoos (The Village of the Damned)
Wyndham,John,The Secret People
Wyndham,John,Stowaway to Mars
Wyndham,John,Chocky
Wyndham,John,Web
Wyndham,John,Consider her ways and others
Wyndham,John,Out of the deeps
Wyndham,John,The Seeds of Time
Yeates,William Butler,The Wild Swans at Coole
Zimmer Bradley,Marion,The Mists of Avalon
,,The Song of Roland
,,The epic of Gilgamesh
,,After the first death
,,The book of Rachel
,,Papillon
,,A Conspiracy of Paper
,,The Coffee Trader
,,Girl with a Pearl Earing
,,The Cure for death by lightning
,,Sophie's World
, ,Midnight Cowboy
,,Drugstore Cowboy
,,Only Begotten daughter
,,Afterimage
,,No one here gets out alive
,,Tik-tok
,,The Nanny Diaries
Copeland,Douglas,Eleanor Rigby
Rain,Alessandra,Deeds of Trust
Walker,Alice,The Color Purple
Ishiguro,Kazuo,Never Let you go
Saramago,Jose,Blindness
Miller,Sue,While I was gone
Miller,Sue,The World Below
Morgan,Robert  ,Gap Creek
Clark,Mary Higgins,Nighttime is my time
Irving,John,The Water-Method Man
Klein,Norma,The Swap
Shreve,Anita,The Pilot's Wife
Trolloppe,Joanna,A Village Affair
Bushnell,Candace,Trading Up
McCollough,Colleen,A Creed for the Third Millenium
Patchett,Ann,Bel Canto
Copeland,Douglas,JPod
Stephenson,Neil,Cryptonomicon
Fowler,Karen Joy,The Jane Austen Book Club
